project_id,project_location_id,country,latitude,longitude,start_date,funder,ad_sector_codes,sector_group_name
31719,31719_2225457,Cameroon,4.68333,12.36667,2009-07-02,CH,310,Production
32412,32412_2297141,Ghana,5.80893,-0.35026,2004-01-01,CH,210,Economic Infrastructure & Services
32412,32412_2295925,Ghana,5.73607,-0.3154,2004-01-01,CH,210,Economic Infrastructure & Services
32412,32412_2304553,Ghana,5.78333,-0.33333,2004-01-01,CH,210,Economic Infrastructure & Services
32412,32412_2296454,Ghana,5.65596,-0.26921,2004-01-01,CH,210,Economic Infrastructure & Services
32438,32438_7646401,Kenya,-0.329,35.944,2009-01-01,CH,110,Social Infrastructure & Services
32438,32438_11593572,Kenya,0.30206,35.31441,2009-01-01,CH,110,Social Infrastructure & Services
32875,32875_2246274,Senegal,14.78023,-17.22761,2011-01-01,CH,310,Production
33663,33663_8536607,Côte d’Ivoire,5.27486,-3.96717,2012-07-03,CH,320,Production
33663,33663_2288330,Côte d’Ivoire,5.23602,-3.89843,2012-07-03,CH,320,Production
33851,33851_181032,Kenya,-1.15,36.96667,2008-01-01,CH,210,Economic Infrastructure & Services
33851,33851_179330,Kenya,-1.03326,37.06933,2008-01-01,CH,210,Economic Infrastructure & Services
34171,34171_330186,Ethiopia,8.55,39.26667,2008-01-01,CH,120,Social Infrastructure & Services
34900,34900_330186,Ethiopia,8.55,39.26667,2009-01-01,CH,120,Social Infrastructure & Services
35221,35221_2453662,Mali,13.7021,-6.0659,2008-01-01,CH,120,Social Infrastructure & Services
35267,35267_2275884,Liberia,6.69516,-10.875,2012-05-01,CH,520,Direct Aid
35651,35651_911148,Zambia,-12.80243,28.21323,2007-05-13,CH,120,Social Infrastructure & Services
35651,35651_909863,Zambia,-13.13667,28.41661,2007-05-13,CH,120,Social Infrastructure & Services
35652,35652_909863,Zambia,-13.13667,28.41661,2005-01-01,CH,120,Social Infrastructure & Services
35652,35652_911148,Zambia,-12.80243,28.21323,2005-01-01,CH,120,Social Infrastructure & Services
35653,35653_911148,Zambia,-12.80243,28.21323,2003-01-01,CH,120,Social Infrastructure & Services
35653,35653_909863,Zambia,-13.13667,28.41661,2003-01-01,CH,120,Social Infrastructure & Services
36245,36245_2221109,Cameroon,11.39879,14.57067,2014-01-01,CH,150,Social Infrastructure & Services
36245,36245_9969731,Cameroon,2.17383,11.33703,2014-01-01,CH,150,Social Infrastructure & Services
36245,36245_2231319,Cameroon,5.88333,14.55,2014-01-01,CH,150,Social Infrastructure & Services
36245,36245_2229798,Cameroon,12.07689,15.03063,2014-01-01,CH,150,Social Infrastructure & Services
36251,36251_8051202,Ethiopia,8.89643,38.78908,2014-01-01,CH,210,Economic Infrastructure & Services
36251,36251_11611135,Ethiopia,8.99754,38.80909,2014-01-01,CH,210,Economic Infrastructure & Services
36279,36279_2397193,Gabon,-0.80617,8.81926,2013-01-01,CH,210,Economic Infrastructure & Services
36279,36279_2396634,Gabon,-1.01821,8.90104,2013-01-01,CH,210,Economic Infrastructure & Services
36279,36279_2396853,Gabon,-1.57464,9.26184,2013-01-01,CH,210,Economic Infrastructure & Services
36279,36279_2400356,Gabon,-1.21201,9.0217,2013-01-01,CH,210,Economic Infrastructure & Services
37306,37306_8449787,Congo - Kinshasa,-4.3575,15.29833,2014-01-01,CH,110,Social Infrastructure & Services
37951,37951_234489,Uganda,1.24056,30.75889,2014-01-01,CH,120,Social Infrastructure & Services
41587,41587_2332121,Nigeria,6.40948,4.09152,2014-01-01,CH,110,Social Infrastructure & Services
44338,44338_11610095,Kenya,-0.00088,34.73961,2010-01-01,CH,210,Economic Infrastructure & Services
44338,44338_11610333,Kenya,0.0833,34.85,2010-01-01,CH,210,Economic Infrastructure & Services
44338,44338_11610512,Kenya,0.03816,34.8278,2010-01-01,CH,210,Economic Infrastructure & Services
44338,44338_11610515,Kenya,0.01772,34.76074,2010-01-01,CH,210,Economic Infrastructure & Services
46231,46231_204405,Congo - Kinshasa,-3.39534,29.13779,2011-11-05,CH,210,Economic Infrastructure & Services
46231,46231_214710,Congo - Kinshasa,-2.77788,29.00132,2011-11-05,CH,210,Economic Infrastructure & Services
76,76_2312522,Congo - Kinshasa,-5.76583,17.09035,2005-01-01,CH,140,Social Infrastructure & Services
230,230_152948,Tanzania,-6.56667,38.3,2007-01-01,CH,140,Social Infrastructure & Services
230,230_153018,Tanzania,-6.33333,38.38333,2007-01-01,CH,140,Social Infrastructure & Services
230,230_153799,Tanzania,-6.11667,38.4,2007-01-01,CH,140,Social Infrastructure & Services
230,230_154266,Tanzania,-6.06667,38.23333,2007-01-01,CH,140,Social Infrastructure & Services
230,230_154461,Tanzania,-6.4,38.35,2007-01-01,CH,140,Social Infrastructure & Services
230,230_154922,Tanzania,-5.15,38.36667,2007-01-01,CH,140,Social Infrastructure & Services
230,230_155743,Tanzania,-6.45,38.33333,2007-01-01,CH,140,Social Infrastructure & Services
230,230_157821,Tanzania,-6.41667,38.73333,2007-01-01,CH,140,Social Infrastructure & Services
230,230_160660,Tanzania,-6.63784,38.35396,2007-01-01,CH,140,Social Infrastructure & Services
407,407_213632,Congo - Kinshasa,-2.29011,28.79105,2008-05-26,CH,210,Economic Infrastructure & Services
438,438_2593464,Congo - Kinshasa,-4.40833,15.36611,2004-01-01,CH,120,Social Infrastructure & Services
955,955_202854,Rwanda,-1.9784,30.1771,2008-01-01,CH,210,Economic Infrastructure & Services
1861,1861_202723,Rwanda,-1.9947,30.1931,2009-05-09,CH,120,Social Infrastructure & Services
1892,1892_202882,Rwanda,-1.9705,30.2248,2006-01-01,CH,120,Social Infrastructure & Services
1898,1898_384477,Rwanda,-2.1547,30.0075,2007-01-01,CH,110,Social Infrastructure & Services
2502,2502_233508,Uganda,0.06444,32.44694,2003-12-08,CH,140,Social Infrastructure & Services
2510,2510_233508,Uganda,0.06444,32.44694,2004-01-01,CH,150,Social Infrastructure & Services
12292,12292_428136,Burundi,-3.0391,30.0861,2008-01-01,CH,110,Social Infrastructure & Services
12298,12298_428632,Burundi,-3.1703,29.4026,2009-05-14,CH,120,Social Infrastructure & Services
14910,14910_152948,Tanzania,-6.56667,38.3,2009-05-01,CH,110,Social Infrastructure & Services
16801,16801_383968,Rwanda,-2.5805,29.716,2008-08-20,CH,310,Production
19114,19114_8449787,Congo - Kinshasa,-4.3575,15.29833,2006-01-01,CH,110,Social Infrastructure & Services
19719,19719_2312102,Congo - Kinshasa,-4.46268,15.34701,2006-01-01,CH,120,Social Infrastructure & Services
23150,23150_149050,Tanzania,-5.10361,30.39111,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_151460,Tanzania,-7.8,30.78333,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_155921,Tanzania,-9.76667,37.93333,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_156111,Tanzania,-9.58333,33.85,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_157960,Tanzania,-3.58639,30.72028,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_158214,Tanzania,-4.57667,30.1025,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_158563,Tanzania,-3.28278,30.96417,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_158542,Tanzania,-6.29964,30.65758,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_877378,Tanzania,-11.06667,37.35,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_877702,Tanzania,-10.3725,38.76251,2010-01-01,CH,220,Economic Infrastructure & Services
23150,23150_877999,Tanzania,-10.75,35.36667,2010-01-01,CH,220,Economic Infrastructure & Services
23296,23296_156811,Tanzania,-5.86667,36.85,2006-01-01,CH,110,Social Infrastructure & Services
24282,24282_202068,Rwanda,-2.1597,30.5427,2007-01-01,CH,120,Social Infrastructure & Services
30017,30017_152948,Tanzania,-6.56667,38.3,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_153018,Tanzania,-6.33333,38.38333,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_153799,Tanzania,-6.11667,38.4,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_154266,Tanzania,-6.06667,38.23333,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_154349,Tanzania,-7.19844,36.31058,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_154461,Tanzania,-6.4,38.35,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_154922,Tanzania,-5.15,38.36667,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_155743,Tanzania,-6.45,38.33333,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_160660,Tanzania,-6.63784,38.35396,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_8693019,Tanzania,-6.06,38.16,2002-01-01,CH,140,Social Infrastructure & Services
30017,30017_8693018,Tanzania,-6.11,38.2,2002-01-01,CH,140,Social Infrastructure & Services
30060,30060_430477,Burundi,-2.8589,29.7879,2009-01-01,CH,420,Other
30290,30290_160288,Tanzania,-7.41637,37.68653,2012-01-01,CH,310,Production
30589,30589_151166,Tanzania,-7.77431,39.27275,2013-01-01,CH,420,Other
30607,30607_161290,Tanzania,-6.44222,38.90422,2013-01-01,CH,220,Economic Infrastructure & Services
35805,35805_202723,Rwanda,-1.9947,30.1931,2013-01-01,CH,120,Social Infrastructure & Services
36075,36075_155334,Tanzania,-6.37697,37.37373,2014-01-01,CH,700,Direct Aid
40801,40801_915883,Zambia,-15.76911,28.18136,2014-01-01,CH,230,Economic Infrastructure & Services
40930,40930_901099,Zambia,-11.64112,31.80552,2014-01-01,CH,920,Direct Aid
40912,40912_175555,Zambia,-9.34213,32.745,2014-01-01,CH,210,Economic Infrastructure & Services
40912,40912_913029,Zambia,-13.97147,28.66985,2014-01-01,CH,210,Economic Infrastructure & Services
1193,1193_1024683,Mozambique,-22.0,35.31667,2007-01-01,CH,310,Production
758,758_1039618,Mozambique,-25.41444,32.58611,2002-01-01,CH,120,Social Infrastructure & Services
1240,1240_1050841,Mozambique,-26.00295,32.55738,2012-07-19,CH,210,Economic Infrastructure & Services
1140,1140_179330,Kenya,-1.03326,37.06933,2008-01-01,CH,210,Economic Infrastructure & Services
1277,1277_189400,Kenya,-4.08394,39.66161,2010-10-13,CH,120,Social Infrastructure & Services
1043,1043_194791,Kenya,-1.02734,36.74029,2005-01-01,CH,230,Economic Infrastructure & Services
1290,1290_195472,Kenya,-1.18333,36.91667,2011-01-01,CH,120,Social Infrastructure & Services
1043,1043_199638,Kenya,-0.49004,35.16685,2005-01-01,CH,230,Economic Infrastructure & Services
1140,1140_8299779,Kenya,-1.20549,36.91389,2008-01-01,CH,210,Economic Infrastructure & Services
30472,30472_8692899,Zambia,-15.45226,28.29651,2009-01-01,CH,150,Social Infrastructure & Services
14994,14994_911148,Zambia,-12.80243,28.21323,2006-01-01,CH,140,Social Infrastructure & Services
2234,2234_911148,Zambia,-12.80243,28.21323,2005-01-01,CH,700,Direct Aid
2340,2340_911148,Zambia,-12.80243,28.21323,2011-01-01,CH,120,Social Infrastructure & Services
31066,31066_1095961,Mozambique,-18.98604,32.73553,2013-01-01,CH,210,Economic Infrastructure & Services
779,779_927557,Malawi,-15.60271,35.26015,2009-01-07,CH,420,Other
19700,19700_1054257,Madagascar,-19.33018,48.97791,2010-01-02,CH,120,Social Infrastructure & Services
19700,19700_1061959,Madagascar,-23.16667,47.41667,2010-01-02,CH,120,Social Infrastructure & Services
22136,22136_1106542,Zimbabwe,-18.01274,31.07555,2011-01-01,CH,120,Social Infrastructure & Services
23142,23142_150276,Tanzania,-4.06667,37.73333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_150103,Tanzania,-2.66667,32.65,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_151057,Tanzania,-3.05,32.6,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_152402,Tanzania,-6.33333,37.41667,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_150793,Tanzania,-5.42526,38.97473,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_152699,Tanzania,-8.6,35.28333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_153094,Tanzania,-6.35,36.48333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_153612,Tanzania,-4.9,38.45,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_153759,Tanzania,-2.85,33.08333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_154313,Tanzania,-3.85,35.53333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_154342,Tanzania,-3.36667,32.26667,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_154837,Tanzania,-5.75,34.83333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_155569,Tanzania,-4.78333,38.28333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_156479,Tanzania,-5.15,38.48333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_156510,Tanzania,-4.9,35.78333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_156811,Tanzania,-5.86667,36.85,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_157403,Tanzania,-6.83333,36.98333,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_157435,Tanzania,-5.63333,37.6,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_158597,Tanzania,-3.83333,32.6,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_159216,Tanzania,-2.45,32.9,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_159675,Tanzania,-5.43333,38.01667,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_159909,Tanzania,-6.15,36.86667,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_160552,Tanzania,-2.63778,31.76694,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_160957,Tanzania,-3.51667,32.05,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_161283,Tanzania,-5.98304,35.3159,2009-07-24,CH,220,Economic Infrastructure & Services
30188,30188_2223226,Cameroon,3.98333,11.6,2012-01-01,CH,230,Economic Infrastructure & Services
11897,11897_2225457,Cameroon,4.68333,12.36667,2007-01-01,CH,110,Social Infrastructure & Services
296,296_2225659,Cameroon,3.11667,12.26667,2006-01-01,CH,110,Social Infrastructure & Services
974,974_2227354,Cameroon,3.26667,12.41667,2010-07-01,CH,230,Economic Infrastructure & Services
287,287_2228079,Cameroon,3.51667,11.5,2003-01-01,CH,120,Social Infrastructure & Services
349,349_2229761,Cameroon,2.93725,9.90765,2011-10-01,CH,160,Social Infrastructure & Services
350,350_2229761,Cameroon,2.93725,9.90765,2010-10-01,CH,210,Economic Infrastructure & Services
11897,11897_2230876,Cameroon,9.9333,13.94671,2007-01-01,CH,110,Social Infrastructure & Services
287,287_2230876,Cameroon,9.9333,13.94671,2003-01-01,CH,120,Social Infrastructure & Services
974,974_2232994,Cameroon,3.81667,12.7,2010-07-01,CH,230,Economic Infrastructure & Services
65,65_2243173,Angola,-8.7798,13.37478,2008-01-01,CH,140,Social Infrastructure & Services
1759,1759_2246274,Senegal,14.78023,-17.22761,2007-01-01,CH,310,Production
1760,1760_2246678,Senegal,14.76457,-17.39071,2007-01-01,CH,120,Social Infrastructure & Services
1792,1792_2273684,Liberia,6.49222,-8.86028,2011-01-01,CH,120,Social Infrastructure & Services
30352,30352_2273684,Liberia,6.49222,-8.86028,2012-01-01,CH,120,Social Infrastructure & Services
1653,1653_2273775,Liberia,6.98992,-9.58076,2009-04-28,CH,310,Production
1589,1589_2274465,Liberia,6.27556,-10.71778,2005-09-26,CH,160,Social Infrastructure & Services
1667,1667_2274465,Liberia,6.27556,-10.71778,2008-07-28,CH,110,Social Infrastructure & Services
1791,1791_2274465,Liberia,6.27556,-10.71778,2011-09-18,CH,110,Social Infrastructure & Services
1667,1667_2274750,Liberia,6.36667,-10.76667,2008-07-28,CH,110,Social Infrastructure & Services
1590,1590_2277983,Liberia,6.26889,-10.73227,2005-01-01,CH,150,Social Infrastructure & Services
1731,1731_2277983,Liberia,6.26889,-10.73227,2010-01-01,CH,150,Social Infrastructure & Services
30481,30481_2294377,Ghana,6.53932,0.28596,2012-01-01,CH,110,Social Infrastructure & Services
1959,1959_2294700,Ghana,5.6698,-0.01657,2004-01-01,CH,210,Economic Infrastructure & Services
30481,30481_2294700,Ghana,5.6698,-0.01657,2012-01-01,CH,110,Social Infrastructure & Services
120,120_2296454,Ghana,5.65613,-0.26864,2003-01-01,CH,210,Economic Infrastructure & Services
120,120_2297141,Ghana,5.80893,-0.35026,2003-01-01,CH,210,Economic Infrastructure & Services
1959,1959_2297141,Ghana,5.80893,-0.35026,2004-01-01,CH,210,Economic Infrastructure & Services
30481,30481_2298423,Ghana,5.65,-0.18333,2012-01-01,CH,110,Social Infrastructure & Services
30571,30571_2299456,Ghana,5.70014,-1.00313,2012-01-01,CH,110,Social Infrastructure & Services
30571,30571_2300878,Ghana,5.67959,-1.01211,2012-01-01,CH,110,Social Infrastructure & Services
30571,30571_2304837,Ghana,5.73471,-1.01728,2012-01-01,CH,110,Social Infrastructure & Services
1595,1595_2305433,Ghana,6.33184,-1.5145,2007-05-08,CH,160,Social Infrastructure & Services
1468,1468_2306019,Ghana,5.77416,0.63377,2002-01-01,CH,120,Social Infrastructure & Services
1851,1851_2330853,Nigeria,11.41477,6.48305,2007-05-07,CH,210,Economic Infrastructure & Services
233,233_2363628,Togo,7.51667,0.6,2007-01-01,CH,230,Economic Infrastructure & Services
2188,2188_2368301,Togo,6.88333,0.73333,2008-07-18,CH,110,Social Infrastructure & Services
420,420_2388720,Central African Republic,4.80048,18.12747,2011-01-03,CH,230,Economic Infrastructure & Services
386,386_2388865,Central African Republic,4.31371,18.30652,2007-11-17,CH,220,Economic Infrastructure & Services
117,117_2394092,Benin,6.38948,2.34581,2008-08-01,CH,210,Economic Infrastructure & Services
2242,2242_2404411,Sierra Leone,7.359,-11.72356,2006-01-01,CH,310,Production
2242,2242_2404433,Sierra Leone,8.76609,-12.78696,2006-01-01,CH,310,Production
2242,2242_2405013,Sierra Leone,8.15898,-12.43168,2006-01-01,CH,310,Production
2242,2242_2407466,Sierra Leone,8.33333,-13.01667,2006-01-01,CH,310,Production
2242,2242_2407651,Sierra Leone,9.5368,-11.36929,2006-01-01,CH,310,Production
2243,2243_2407700,Sierra Leone,8.46896,-13.19281,2006-01-01,CH,520,Direct Aid
30258,30258_2408351,Sierra Leone,8.41211,-13.12926,2009-07-16,CH,120,Social Infrastructure & Services
2242,2242_2408250,Sierra Leone,8.2789,-10.573,2006-01-01,CH,310,Production
2242,2242_2408088,Sierra Leone,9.12504,-12.91816,2006-01-01,CH,310,Production
22222,22222_2408770,Sierra Leone,8.43194,-13.28972,2009-01-01,CH,120,Social Infrastructure & Services
2261,2261_2408770,Sierra Leone,8.43194,-13.28972,2010-01-01,CH,310,Production
2261,2261_2410047,Sierra Leone,8.16414,-10.81091,2010-01-01,CH,310,Production
2242,2242_2410553,Sierra Leone,8.98329,-13.1452,2006-01-01,CH,310,Production
75,75_2414726,Guinea,10.51667,-11.45,2004-01-01,CH,230,Economic Infrastructure & Services
75,75_2414725,Guinea,11.25,-10.61667,2004-01-01,CH,230,Economic Infrastructure & Services
2372,2372_2417027,Guinea,9.61667,-13.63333,2007-09-18,CH,160,Social Infrastructure & Services
15705,15705_2418363,Guinea,11.1,-10.11667,2010-08-25,CH,120,Social Infrastructure & Services
13066,13066_2418363,Guinea,11.1,-10.11667,2006-01-01,CH,120,Social Infrastructure & Services
2368,2368_2419495,Guinea,9.6,-13.65,2008-01-01,CH,120,Social Infrastructure & Services
1506,1506_2450972,Mali,14.0432,-6.1067,2008-11-01,CH,320,Production
30663,30663_2453662,Mali,13.7021,-6.0659,2009-01-01,CH,120,Social Infrastructure & Services
2254,2254_2566413,Sierra Leone,8.33184,-13.07047,2008-01-01,CH,120,Social Infrastructure & Services
1851,1851_2590364,Nigeria,9.005,7.67361,2007-05-07,CH,210,Economic Infrastructure & Services
315,315_2594984,Cameroon,4.1532,9.5587,2007-01-01,CH,140,Social Infrastructure & Services
2095,2095_2595640,Senegal,14.72051,-17.1816,2011-01-01,CH,120,Social Infrastructure & Services
710,710_2596931,Côte d’Ivoire,6.58333,-6.25,2009-04-01,CH,120,Social Infrastructure & Services
1440,1440_325914,Ethiopia,9.38333,38.73333,2005-01-01,CH,110,Social Infrastructure & Services
30241,30241_326308,Ethiopia,8.45,39.28333,2012-01-01,CH,230,Economic Infrastructure & Services
80,80_329057,Ethiopia,12.68333,39.55,2003-01-01,CH,210,Economic Infrastructure & Services
30241,30241_330186,Ethiopia,8.55,39.26667,2012-01-01,CH,230,Economic Infrastructure & Services
1380,1380_330186,Ethiopia,8.55,39.26667,2011-07-01,CH,230,Economic Infrastructure & Services
980,980_330186,Ethiopia,8.55,39.26667,2010-04-01,CH,210,Economic Infrastructure & Services
1471,1471_330691,Ethiopia,9.23478,40.75593,2011-01-01,CH,210,Economic Infrastructure & Services
30315,30315_3346401,Angola,-17.41667,14.2,2013-05-16,CH,210,Economic Infrastructure & Services
1305,1305_3354147,Namibia,-17.78333,15.76667,2006-01-01,CH,150,Social Infrastructure & Services
1258,1258_3353540,Namibia,-23.31667,17.08333,2003-01-01,CH,210,Economic Infrastructure & Services
30315,30315_3354560,Namibia,-20.31667,18.13333,2013-05-16,CH,210,Economic Infrastructure & Services
966,966_336475,Ethiopia,9.03333,38.15,2008-01-01,CH,310,Production
1471,1471_339191,Ethiopia,11.03472,42.63139,2011-01-01,CH,210,Economic Infrastructure & Services
2242,2242_8468758,Sierra Leone,7.59973,-12.16667,2006-01-01,CH,310,Production
1851,1851_8468821,Nigeria,8.97314,7.38411,2007-05-07,CH,210,Economic Infrastructure & Services
1851,1851_8468824,Nigeria,9.02991,7.60221,2007-05-07,CH,210,Economic Infrastructure & Services
1851,1851_8468822,Nigeria,9.06667,7.48333,2007-05-07,CH,210,Economic Infrastructure & Services
1851,1851_8468823,Nigeria,9.1413,7.35257,2007-05-07,CH,210,Economic Infrastructure & Services
30338,30338_876747,Namibia,-19.6,20.5,2008-01-01,CH,110,Social Infrastructure & Services
22159,22159_883183,Zimbabwe,-18.96167,32.40557,2011-01-01,CH,110,Social Infrastructure & Services
20443,20443_887854,Zimbabwe,-18.30404,31.19832,2009-10-30,CH,120,Social Infrastructure & Services
20949,20949_887854,Zimbabwe,-18.30404,31.19832,2010-01-01,CH,150,Social Infrastructure & Services
21051,21051_891515,Zimbabwe,-20.53333,29.28502,2010-01-01,CH,920,Direct Aid
30080,30080_921957,Comoros,-12.20556,44.29944,2006-01-01,CH,110,Social Infrastructure & Services
1439,1439_8051202,Ethiopia,8.89643,38.78908,2009-01-01,CH,120,Social Infrastructure & Services
1440,1440_8051201,Ethiopia,9.03141,38.83229,2005-01-01,CH,110,Social Infrastructure & Services
549,549_354574,Egypt,30.53717,31.01566,2007-01-01,CH,110,Social Infrastructure & Services
23142,23142_160196,Tanzania,-6.17221,35.73947,2009-07-24,CH,220,Economic Infrastructure & Services
30563,30563_344979,Ethiopia,9.02497,38.74689,2011-01-01,CH,210,Economic Infrastructure & Services
30886,30886_344979,Ethiopia,9.02497,38.74689,2013-01-01,CH,210,Economic Infrastructure & Services
30926,30926_2220957,Cameroon,3.86667,11.51667,2012-01-01,CH,210,Economic Infrastructure & Services
30989,30989_1070940,Madagascar,-18.91368,47.53613,2013-01-01,CH,150,Social Infrastructure & Services
30990,30990_1070940,Madagascar,-18.91368,47.53613,2013-10-23,CH,150,Social Infrastructure & Services
30991,30991_927967,Malawi,-13.96692,33.78725,2012-01-01,CH,110,Social Infrastructure & Services
31075,31075_2409306,Sierra Leone,8.484,-13.22994,2013-01-01,CH,140,Social Infrastructure & Services
31166,31166_890299,Zimbabwe,-17.82772,31.05337,2013-01-01,CH,150,Social Infrastructure & Services
31682,31682_2314302,Congo - Kinshasa,-4.32758,15.31357,2008-01-01,CH,120,Social Infrastructure & Services
31835,31835_2220957,Cameroon,3.86667,11.51667,2010-07-01,CH,160,Social Infrastructure & Services
32438,32438_184745,Kenya,-1.28333,36.81667,2009-01-01,CH,110,Social Infrastructure & Services
32646,32646_909137,Zambia,-15.40669,28.28713,2010-08-29,CH,110,Social Infrastructure & Services
32656,32656_2427123,Chad,12.10672,15.0444,2011-02-16,CH,150,Social Infrastructure & Services
32660,32660_2440485,Niger,13.51366,2.1098,2009-01-01,CH,120,Social Infrastructure & Services
32661,32661_2440485,Niger,13.51366,2.1098,2013-01-01,CH,120,Social Infrastructure & Services
32662,32662_2377450,Mauritania,18.08581,-15.9785,2008-01-01,CH,150,Social Infrastructure & Services
32673,32673_2440485,Niger,13.51366,2.1098,2012-01-01,CH,120,Social Infrastructure & Services
32756,32756_2440485,Niger,13.51366,2.1098,2011-01-01,CH,110,Social Infrastructure & Services
32762,32762_2440485,Niger,13.51366,2.1098,2010-01-01,CH,150,Social Infrastructure & Services
32766,32766_2389853,Central African Republic,4.36122,18.55496,2008-07-20,CH,120,Social Infrastructure & Services
32889,32889_1070940,Madagascar,-18.91368,47.53613,2008-01-01,CH,110,Social Infrastructure & Services
33851,33851_184745,Kenya,-1.28333,36.81667,2008-01-01,CH,210,Economic Infrastructure & Services
34166,34166_909137,Zambia,-15.40669,28.28713,2009-01-01,CH,120,Social Infrastructure & Services
34168,34168_2389853,Central African Republic,4.36122,18.55496,2009-01-01,CH,120,Social Infrastructure & Services
34916,34916_2352778,Nigeria,9.05785,7.49508,2012-01-01,CH,120,Social Infrastructure & Services
